Date,Action,Price,Strategi
2025-08-26,BUY,5264.15478515625,ARIMA Signal
2026-02-04,SELL,6354.16064453125,ARIMA Signal
2026-03-27,BUY,5830.5966796875,ARIMA Signal
2026-05-19,SELL,5950.0,ARIMA Signal
2022-03-09,BUY,4303.73583984375,MA Crossover
2022-06-29,SELL,4557.07080078125,MA Crossover
2022-08-18,BUY,4890.08837890625,MA Crossover
2022-10-12,SELL,4512.7705078125,MA Crossover
2023-02-07,BUY,4175.20068359375,MA Crossover
2023-08-01,SELL,5331.80615234375,MA Crossover
2024-04-01,BUY,4099.18408203125,MA Crossover
2024-04-24,SELL,3870.575439453125,MA Crossover
2024-07-25,BUY,3859.668701171875,MA Crossover
2024-11-21,SELL,4286.2841796875,MA Crossover
2024-12-11,BUY,4601.8388671875,MA Crossover
2024-12-30,SELL,4295.05029296875,MA Crossover
2025-04-08,BUY,3926.90283203125,MA Crossover
2025-07-03,SELL,4276.83349609375,MA Crossover
2025-07-17,BUY,4482.72021484375,MA Crossover
2026-02-13,SELL,6330.3623046875,MA Crossover
2026-05-13,BUY,5750.0,MA Crossover
2026-05-21,SELL,5600.0,MA Crossover
2026-07-29,BUY,4960.0,MA Crossover
2026-09-01,SELL,4920.0,MA Crossover
