Date,Action,Price,Strategi
2024-10-01,BUY,9655.6474609375,ARIMA Signal
2024-11-26,SELL,9197.919921875,ARIMA Signal
2022-01-13,BUY,6594.2509765625,MA Crossover
2022-05-10,SELL,6543.14599609375,MA Crossover
2022-08-09,BUY,6869.21630859375,MA Crossover
2022-12-26,SELL,7485.25244140625,MA Crossover
2023-02-13,BUY,7747.12744140625,MA Crossover
2023-03-21,SELL,7419.7841796875,MA Crossover
2023-04-10,BUY,7835.20068359375,MA Crossover
2023-09-15,SELL,8013.27294921875,MA Crossover
2023-11-30,BUY,7991.01513671875,MA Crossover
2023-12-06,SELL,7872.58447265625,MA Crossover
2023-12-18,BUY,8230.4287109375,MA Crossover
2024-05-02,SELL,8740.419921875,MA Crossover
2024-07-04,BUY,8992.1064453125,MA Crossover
2024-11-11,SELL,9198.0322265625,MA Crossover
2025-05-06,BUY,8556.5419921875,MA Crossover
2025-07-01,SELL,8248.4111328125,MA Crossover
2025-11-03,BUY,8201.005859375,MA Crossover
2025-12-22,SELL,7801.8984375,MA Crossover
2026-07-07,BUY,6275.67578125,MA Crossover
