Date,Action,Price,Strategi
2024-04-03,BUY,4657.833984375,ARIMA Signal
2025-10-22,SELL,3349.25048828125,ARIMA Signal
2022-01-27,BUY,2945.048095703125,MA Crossover
2022-05-24,SELL,3298.453369140625,MA Crossover
2022-08-10,BUY,3187.518310546875,MA Crossover
2022-10-24,SELL,3328.03564453125,MA Crossover
2022-11-10,BUY,3350.22216796875,MA Crossover
2023-01-16,SELL,3384.861083984375,MA Crossover
2023-02-17,BUY,3654.451416015625,MA Crossover
2023-09-08,SELL,4204.8349609375,MA Crossover
2023-11-28,BUY,4204.8349609375,MA Crossover
2024-04-23,SELL,4388.71435546875,MA Crossover
2024-07-16,BUY,3916.72119140625,MA Crossover
2024-10-17,SELL,4123.736328125,MA Crossover
2025-02-13,BUY,3413.682861328125,MA Crossover
2025-02-21,SELL,3328.126708984375,MA Crossover
2025-04-29,BUY,3485.031005859375,MA Crossover
2025-07-02,SELL,3331.146484375,MA Crossover
2025-08-15,BUY,3729.435546875,MA Crossover
2025-10-10,SELL,3376.406494140625,MA Crossover
2025-11-17,BUY,3566.4990234375,MA Crossover
2025-12-11,SELL,3276.834228515625,MA Crossover
2026-01-20,BUY,3616.09033203125,MA Crossover
2026-03-13,SELL,3296.7470703125,MA Crossover
2026-07-31,BUY,3040.0,MA Crossover
