Date,Action,Price,Strategi
2022-03-10,BUY,3297.67822265625,ARIMA Signal
2025-02-21,SELL,2271.310546875,ARIMA Signal
2025-02-28,BUY,2014.1810302734373,ARIMA Signal
2025-05-19,SELL,2417.017333984375,ARIMA Signal
2025-07-07,BUY,2496.4365234375,ARIMA Signal
2025-08-04,SELL,2801.556640625,ARIMA Signal
2025-09-02,BUY,2838.540771484375,ARIMA Signal
2025-09-17,SELL,3088.1845703125,ARIMA Signal
2025-09-24,BUY,2921.75537109375,ARIMA Signal
2025-10-22,SELL,2912.50927734375,ARIMA Signal
2026-02-04,BUY,3078.9384765625,ARIMA Signal
2022-07-26,BUY,3294.276611328125,MA Crossover
2022-09-30,SELL,3457.052490234375,MA Crossover
2023-01-27,BUY,3069.49072265625,MA Crossover
2023-05-26,SELL,3201.261474609375,MA Crossover
2023-07-06,BUY,3198.669677734375,MA Crossover
2023-07-25,SELL,3134.050048828125,MA Crossover
2023-10-09,BUY,3037.120849609375,MA Crossover
2023-10-25,SELL,2907.881591796875,MA Crossover
2023-12-07,BUY,3158.2822265625,MA Crossover
2024-03-20,SELL,3174.437255859375,MA Crossover
2024-07-01,BUY,2648.433837890625,MA Crossover
2024-08-12,SELL,2459.8720703125,MA Crossover
2024-09-12,BUY,2614.14990234375,MA Crossover
2024-10-21,SELL,2657.0048828125,MA Crossover
2025-04-30,BUY,2262.739501953125,MA Crossover
2025-10-10,SELL,2810.802734375,MA Crossover
2025-11-04,BUY,3236.12158203125,MA Crossover
2026-01-08,SELL,3263.859619140625,MA Crossover
2026-01-26,BUY,3559.733642578125,MA Crossover
2026-02-13,SELL,3189.89111328125,MA Crossover
2026-08-03,BUY,2740.0,MA Crossover
