Date,Action,Price,Strategi
2022-03-31,BUY,2854.20068359375,ARIMA Signal
2022-07-28,SELL,3577.650146484375,ARIMA Signal
2022-08-11,BUY,3768.03466796875,ARIMA Signal
2022-11-04,SELL,3601.4482421875,ARIMA Signal
2025-04-30,BUY,1498.189208984375,ARIMA Signal
2025-11-12,SELL,2296.8271484375,ARIMA Signal
2026-02-11,BUY,2105.26123046875,ARIMA Signal
2026-03-06,SELL,1839.7747802734373,ARIMA Signal
2026-05-12,BUY,1676.7568359375,ARIMA Signal
2026-06-03,SELL,1490.450439453125,ARIMA Signal
2026-06-18,BUY,1665.0,ARIMA Signal
2022-04-28,BUY,3033.5625,MA Crossover
2022-08-09,SELL,3744.23681640625,MA Crossover
2022-10-03,BUY,3847.3623046875,MA Crossover
2022-11-17,SELL,3641.111328125,MA Crossover
2022-12-23,BUY,3880.533935546875,MA Crossover
2023-02-16,SELL,3639.006591796875,MA Crossover
2023-05-05,BUY,3614.854248046875,MA Crossover
2023-07-07,SELL,3470.75634765625,MA Crossover
2023-10-16,BUY,2987.79736328125,MA Crossover
2023-11-17,SELL,2840.453857421875,MA Crossover
2024-05-27,BUY,2715.684814453125,MA Crossover
2024-07-24,SELL,2325.13037109375,MA Crossover
2024-10-22,BUY,1983.199462890625,MA Crossover
2024-10-29,SELL,1726.75146484375,MA Crossover
2025-04-24,BUY,1306.001708984375,MA Crossover
2025-06-30,SELL,1306.0390625,MA Crossover
2025-08-01,BUY,1594.2684326171875,MA Crossover
2026-01-23,SELL,2095.946044921875,MA Crossover
2026-06-30,BUY,1805.0,MA Crossover
